kommune,locality,utm,N,E,date,month,year,site,stage,obs
Melhus,Fornes,32V,"7010704","565081",17.08.2023 15:32,august,"2023",Forn,stad3,"1"
Melhus,Fornes,32V,"7010724","565086",17.08.2023 15:36,august,"2023",Forn,stad3,"3"
Melhus,Fornes,32V,"7010724","565087",17.08.2023 15:37,august,"2023",Forn,stad3,"2"
Melhus,Fornes,32V,"7010727","565087",17.08.2023 15:40,august,"2023",Forn,stad3,"1"
Melhus,Fornes,32V,"7010728","565091",17.08.2023 15:44,august,"2023",Forn,stad3,"0"
Melhus,Fornes,32V,"7010725","565090",17.08.2023 15:44,august,"2023",Forn,stad3,"1"
Melhus,Fornes,32V,"7010733","565091",17.08.2023 15:48,august,"2023",Forn,stad3,"0"
Melhus,Fornes,32V,"7010736","565089",17.08.2023 15:49,august,"2023",Forn,stad3,"2"
Melhus,Fornes,32V,"7010738","565092",17.08.2023 15:52,august,"2023",Forn,stad3,"3"
Melhus,Fornes,32V,"7010746","565092",17.08.2023 15:55,august,"2023",Forn,stad3,"0"
Melhus,Fornes,32V,"7010748","565088",17.08.2023 15:58,august,"2023",Forn,stad3,"5"
Melhus,Fornes,32V,"7010721","565091",17.08.2023 16:01,august,"2023",Forn,stad3,"0"
Melhus,Fornes,32V,"7010742","565093",17.08.2023 16:02,august,"2023",Forn,stad3,"0"
Melhus,Fornes,32V,"7010751","565091",17.08.2023 16:04,august,"2023",Forn,stad3,"0"
Melhus,Fornes,32V,"7010753","565091",17.08.2023 16:04,august,"2023",Forn,stad3,"0"
Melhus,Fornes,32V,"7010755","565092",17.08.2023 16:06,august,"2023",Forn,stad3,"0"
Melhus,Fornes,32V,"7010759","565090",17.08.2023 16:08,august,"2023",Forn,stad3,"1"
Melhus,Fornes,32V,"7010761","565088",17.08.2023 16:12,august,"2023",Forn,stad3,"0"
Melhus,Fornes,32V,"7010758","565085",17.08.2023 16:14,august,"2023",Forn,stad3,"2"
Melhus,Fornes,32V,"7010762","565081",17.08.2023 16:16,august,"2023",Forn,stad3,"1"
Melhus,Fornes,32V,"7010772","565085",17.08.2023 16:17,august,"2023",Forn,stad3,"1"
Melhus,Fornes,32V,"7010755","565083",17.08.2023 16:22,august,"2023",Forn,stad3,"1"
Melhus,Fornes,32V,"7010762","565079",17.08.2023 16:25,august,"2023",Forn,stad3,"0"
Melhus,Fornes,32V,"7010747","565075",17.08.2023 16:27,august,"2023",Forn,stad3,"2"
Melhus,Fornes,32V,"7010739","565072",17.08.2023 16:29,august,"2023",Forn,stad3,"0"
Melhus,Fornes,32V,"7010760","565069",17.08.2023 16:31,august,"2023",Forn,stad3,"2"
Melhus,Fornes,32V,"7010783","565060",17.08.2023 16:35,august,"2023",Forn,stad3,"0"
Melhus,Fornes,32V,"7010790","565060",17.08.2023 16:38,august,"2023",Forn,stad3,"0"
Melhus,Fornes,32V,"7010796","565055",17.08.2023 16:40,august,"2023",Forn,stad3,"0"
