kommune,locality,utm,N,E,date,month,year,site,stage,obs,Nr
Melhus,Fornes,32V,7010704,565081,2023/08/17,august,"2023",Forn,stad3,"1",
Melhus,Fornes,32V,7010724,565086,2023/08/17,august,"2023",Forn,stad3,"3",
Melhus,Fornes,32V,7010724,565087,2023/08/17,august,"2023",Forn,stad3,"2",
Melhus,Fornes,32V,7010727,565087,2023/08/17,august,"2023",Forn,stad3,"1",
Melhus,Fornes,32V,7010728,565091,2023/08/17,august,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010725,565090,2023/08/17,august,"2023",Forn,stad3,"1",
Melhus,Fornes,32V,7010733,565091,2023/08/17,august,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010736,565089,2023/08/17,august,"2023",Forn,stad3,"2",
Melhus,Fornes,32V,7010738,565092,2023/08/17,august,"2023",Forn,stad3,"3",
Melhus,Fornes,32V,7010746,565092,2023/08/17,august,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010748,565088,2023/08/17,august,"2023",Forn,stad3,"5",
Melhus,Fornes,32V,7010721,565091,2023/08/17,august,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010742,565093,2023/08/17,august,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010751,565091,2023/08/17,august,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010753,565091,2023/08/17,august,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010755,565092,2023/08/17,august,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010759,565090,2023/08/17,august,"2023",Forn,stad3,"1",
Melhus,Fornes,32V,7010761,565088,2023/08/17,august,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010758,565085,2023/08/17,august,"2023",Forn,stad3,"2",
Melhus,Fornes,32V,7010762,565081,2023/08/17,august,"2023",Forn,stad3,"1",
Melhus,Fornes,32V,7010772,565085,2023/08/17,august,"2023",Forn,stad3,"1",
Melhus,Fornes,32V,7010755,565083,2023/08/17,august,"2023",Forn,stad3,"1",
Melhus,Fornes,32V,7010762,565079,2023/08/17,august,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010747,565075,2023/08/17,august,"2023",Forn,stad3,"2",
Melhus,Fornes,32V,7010739,565072,2023/08/17,august,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010760,565069,2023/08/17,august,"2023",Forn,stad3,"2",
Melhus,Fornes,32V,7010783,565060,2023/08/17,august,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010790,565060,2023/08/17,august,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010796,565055,2023/08/17,august,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010807,565048,2023/08/17,august,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010809,565050,2023/08/17,august,"2023",Forn,stad3,"1",
Melhus,Fornes,32V,7010794,565060,2023/08/17,august,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010793,565062,2023/08/17,august,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010795,565060,2023/08/17,august,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010705,565079,2023/08/31,september,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010706,565083,2023/08/31,september,"2023",Forn,stad3,"4",
Melhus,Fornes,32V,7010705,565086,2023/08/31,september,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010727,565088,2023/08/31,september,"2023",Forn,stad3,"2",
Melhus,Fornes,32V,7010723,565090,2023/08/31,september,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010727,565091,2023/08/31,september,"2023",Forn,stad3,"1",
Melhus,Fornes,32V,7010727,565086,2023/08/31,september,"2023",Forn,stad3,"1",
Melhus,Fornes,32V,7010728,565091,2023/08/31,september,"2023",Forn,stad3,"2",
Melhus,Fornes,32V,7010731,565093,2023/08/31,september,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010738,565094,2023/08/31,september,"2023",Forn,stad3,"2",
Melhus,Fornes,32V,7010741,565094,2023/08/31,september,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010742,565093,2023/08/31,september,"2023",Forn,stad3,"2",
Melhus,Fornes,32V,7010743,565098,2023/08/31,september,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010746,565093,2023/08/31,september,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010746,565091,2023/08/31,september,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010748,565091,2023/08/31,september,"2023",Forn,stad3,"1",
Melhus,Fornes,32V,7010751,565094,2023/08/31,september,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010753,565094,2023/08/31,september,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010757,565089,2023/08/31,september,"2023",Forn,stad3,"2",
Melhus,Fornes,32V,7010757,565092,2023/08/31,september,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010760,565094,2023/08/31,september,"2023",Forn,stad3,"2",
Melhus,Fornes,32V,7010762,565091,2023/08/31,september,"2023",Forn,stad3,"4",
Melhus,Fornes,32V,7010761,565093,2023/08/31,september,"2023",Forn,stad3,"2",
Melhus,Fornes,32V,7010766,565092,2023/08/31,september,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010758,565088,2023/08/31,september,"2023",Forn,stad3,"1",
Melhus,Fornes,32V,7010754,565080,2023/08/31,september,"2023",Forn,stad3,"1",
Melhus,Fornes,32V,7010759,565080,2023/08/31,september,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010788,565061,2023/08/31,september,"2023",Forn,stad3,"1",
Melhus,Fornes,32V,7010809,565051,2023/08/31,september,"2023",Forn,stad3,"2",
Melhus,Fornes,32V,7010815,565048,2023/08/31,september,"2023",Forn,stad3,"1",
Melhus,Fornes,32V,7010731,565097,2023/08/31,september,"2023",Forn,stad3,"1",
Melhus,Fornes,32V,7010734,565098,2023/08/31,september,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010720,565094,2023/08/31,september,"2023",Forn,stad3,"0",
Melhus,Fornes,32V,7010711,565072,2017/08/25,august,"2017",Forn,stad3,"2",
Melhus,Fornes,32V,7010708,565063,2017/08/25,august,"2017",Forn,stad3,"3",
Melhus,Fornes,32V,7010710,565059,2017/09/05,september,"2017",Forn,stad3,"1",
Melhus,Fornes,32V,7010682,565054,2018/05/23,mai,"2018",Forn,stad3,"2",
Melhus,Fornes,32V,7010706,565063,2018/05/23,mai,"2018",Forn,stad3,"1",
Melhus,Fornes,32V,7010712,565059,2018/05/23,mai,"2018",Forn,stad3,"1",
Melhus,Fornes,32V,7010710,565059,2018/05/23,mai,"2018",Forn,stad3,"1",
Melhus,Fornes,32V,7010695,565068,2018/06/18,juni,"2018",Forn,stad3,"0",
Melhus,Fornes,32V,7010706,565073,2018/08/15,august,"2018",Forn,stad3,"6",
Melhus,Fornes,32V,7010720,565083,2018/08/15,august,"2018",Forn,stad3,"1",
Melhus,Fornes,32V,7010726,565083,2018/08/15,august,"2018",Forn,stad3,"17",
Melhus,Fornes,32V,7010733,565085,2018/08/15,august,"2018",Forn,stad3,"3",
Melhus,Fornes,32V,7010735,565080,2018/08/15,august,"2018",Forn,stad3,"1",
Melhus,Fornes,32V,7010742,565085,2018/08/15,august,"2018",Forn,stad3,"9",
Melhus,Fornes,32V,7010741,565077,2018/08/15,august,"2018",Forn,stad3,"0",
Melhus,Fornes,32V,7010745,565075,2018/08/15,august,"2018",Forn,stad3,"0",
Melhus,Fornes,32V,7010710,565075,2019/06/26,juni,"2019",Forn,stad3,"15",
Melhus,Fornes,32V,7010718,565082,2019/06/26,juni,"2019",Forn,stad3,"0",
Melhus,Fornes,32V,7010729,565085,2019/06/26,juni,"2019",Forn,stad3,"26",
Melhus,Fornes,32V,7010737,565086,2019/06/26,juni,"2019",Forn,stad3,"4",
Melhus,Fornes,32V,7010737,565081,2019/06/26,juni,"2019",Forn,stad3,"7",
Melhus,Fornes,32V,7010746,565085,2019/06/26,juni,"2019",Forn,stad3,"6",
Melhus,Fornes,32V,7010759,565084,2019/06/26,juni,"2019",Forn,stad3,"1",
Melhus,Fornes,32V,7010755,565074,2019/06/26,juni,"2019",Forn,stad3,"0",
Melhus,Fornes,32V,7010752,565073,2019/06/26,juni,"2019",Forn,stad3,"0",
Melhus,Fornes,32V,7010747,565072,2019/06/26,juni,"2019",Forn,stad3,"8",
Melhus,Fornes,32V,7010745,565076,2019/06/26,juni,"2019",Forn,stad3,"9",
Melhus,Fornes,32V,7010738,565069,2019/06/26,juni,"2019",Forn,stad3,"0",
Melhus,Fornes,32V,7010724,565058,2019/06/26,juni,"2019",Forn,stad3,"1",
Melhus,Fornes,32V,7010719,565063,2019/06/26,juni,"2019",Forn,stad3,"2",
Melhus,Fornes,32V,7010689,565070,2019/08/01,august,"2019",Forn,stad3,"0",
Melhus,Fornes,32V,7010695,565068,2019/08/01,august,"2019",Forn,stad3,"1",
