Lokalitet,Dato_20,Antall_20,Luket_20,Dato_21,Luket_21,Field,GlobalID,Antall_21,Dato_22,Luket_22,Antall_22,Dato_23,Luket_23,Antall_23,Luket_24,Antall_24,Dato_24,Shape_Leng,Shape_Area,site,siteID,S1_20,S2_20,S3_20,A_20,S1_21,S2_21,S3_21,A_21,S1_22,S2_22,S3_22,A_22,S1_23,S2_23,S3_23,A_23,S1_24,S2_24,S3_24,A_24,area_m2
Storrønningen 57,2020/10/01,3000,nei,"13.07",ja,57,9cc7e205-af1d-40ee-a88c-9a0f01f9f57b,5000,2022/06/20,Ja,1300,2023/07/07,Delvis,130,Ja,60,2024/06/17,248.306630015,1213.97380294,Storronningen,"90",0,0,0,0,0,3642,4856,0,9712,6070,6070,0,1214,35205,20638,0,142035,110472,4856,0,1213.97380293976
Storrønningen 55,2020/10/01,700,nei,"02.07",ja,55,a043cb67-0b88-49a9-b880-58d85252621e,550,2022/07/06,Ja,340,2023/07/04,Delvis,150,Ja,360,2024/07/24,209.398032286,2304.89205444,Storronningen,"87",0,0,0,0,0,0,0,0,6915,50708,2305,0,2305,4610,20744,0,6915,2305,0,0,2304.89205444223
Storrønningen 54,2020/10/01,1000,nei,"05.07",ja,54,3a87b18c-ec75-4814-ac9e-3ac19a2ed262,1100,2022/07/05,Ja,530,2023/06/29,Delvis,8,Ja,10,2024/07/24,44.5293723713,69.2224285893,Storronningen,"86",0,0,0,0,0,0,0,0,69,623,69,0,69,69,208,0,69,0,0,0,69.2224285895354
Storrønningen 53,2020/10/01,1000,nei,"05.07",ja,53,c3f003e3-6d3d-4ef0-8c0b-6e33d050c902,400,2022/07/04,Ja,150,2023/06/29,Nei,0,Ja,100,2024/07/02,17.3538719461,15.7422022224,Storronningen,"85",0,0,0,0,0,0,0,0,0,47,0,0,0,0,16,0,0,0,0,0,15.7422022224928
Storrønningen 52,2020/09/30,250,ja,"15.07",ja,52,fb1d0e47-f458-4992-b6d2-9ca965a55d79,65,2022/07/06,Delvis,35,2023/07/10,Ja,160,Nei,0,2024/06/17,74.4270072522,182.159956773,Storronningen,"84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.15995677223
Storrønningen 51,2020/09/30,250,ja,"21.06",ja,51,14af5bcb-2aad-4b8d-9119-893720537759,120,2022/06/20,Delvis,4,2023/07/10,Ja,10,Nei,0,2024/06/17,74.2141619791,94.9431929379,Storronningen,"83",1,0,2,0,95,1424,665,0,95,95,1044,0,0,0,0,0,0,0,0,0,94.9431929380808
Storrønningen 50,2020/09/29,400,ja,"06.08",ja,50,1e43b237-8129-4431-a5a2-731c15e12019,140,2022/06/20,Nei,0,2023/07/12,Ja,11,Nei,0,2024/06/17,61.1404367339,107.917289778,Storronningen,"82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.917289777426
Storrønningen 49,2020/09/21,6500,ja,"06.08",ja,49,1afbd00c-9777-402f-b567-7338174c7743,7200,2022/06/16,Nei,0,2023/07/12,Ja,420,Delvis,7,2024/06/17,67.4062384745,122.662288247,Storronningen,"80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.662288247375
Storrønningen 48,2020/09/21,1200,ja,"27.07",ja,48,224bf14d-6e22-4c52-b509-aacd2cb8ea0c,1570,2022/06/16,Nei,0,2023/07/12,Ja,100,Nei,0,2024/06/17,48.3273637561,44.0975363217,Storronningen,"79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0975363215548
Storrønningen 47,2020/09/20,2100,ja,"27.07",ja,47,73ab845f-80a5-4384-89e8-0e90ab7d9b9d,1200,2022/06/16,Nei,0,2023/07/12,Ja,50,Nei,0,2024/06/17,66.9860865528,144.938711225,Storronningen,"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.938711226219
