"","Kommune","locality","site","utm_sone","date","month","year","utm_N","utm_E","stage","obs"
"1","Melhus","Gravråk","Grav","32V",2020-07-16,"juli",2020,7014481,562689,"adult",0
"2","Melhus","Gravråk","Grav","32V",2020-07-16,"juli",2020,7014481,562689,"juvenile",1
"3","Melhus","Kregnesteigen","Kreg","32V",2020-07-15,"juli",2020,7013676,563096,"adult",0
"4","Melhus","Kregnesteigen","Kreg","32V",2020-07-15,"juli",2020,7013676,563096,"juvenile",1
"5","Melhus","Kregnesteigen","Kreg","32V",2020-07-15,"juli",2020,7013677,563094,"adult",1
"6","Melhus","Kregnesteigen","Kreg","32V",2020-07-15,"juli",2020,7013677,563094,"juvenile",0
"7","Melhus","Kregnesteigen","Kreg","32V",2020-07-15,"juli",2020,7013548,562735,"adult",0
"8","Melhus","Kregnesteigen","Kreg","32V",2020-07-15,"juli",2020,7013548,562735,"juvenile",1
"9","Melhus","Kregnesteigen","Kreg","32V",2020-08-17,"august",2020,7013550,562740,"adult",0
"10","Melhus","Kregnesteigen","Kreg","32V",2020-08-17,"august",2020,7013550,562740,"juvenile",1
"11","Melhus","Kregnesteigen","Kreg","32V",2020-08-17,"august",2020,7013550,562740,"adult",0
"12","Melhus","Kregnesteigen","Kreg","32V",2020-08-17,"august",2020,7013550,562740,"juvenile",1
"13","Melhus","Storrønningen","Stor","32V",2020-07-15,"juli",2020,7011934,563391,"adult",1
"14","Melhus","Storrønningen","Stor","32V",2020-07-15,"juli",2020,7011934,563391,"juvenile",0
"15","Melhus","Storrønningen","Stor","32V",2020-08-17,"august",2020,7011936,563394,"adult",1
"16","Melhus","Storrønningen","Stor","32V",2020-08-17,"august",2020,7011936,563394,"juvenile",0
"17","Melhus","Storrønningen","Stor","32V",2020-08-17,"august",2020,7011936,563395,"adult",0
"18","Melhus","Storrønningen","Stor","32V",2020-08-17,"august",2020,7011936,563395,"juvenile",2
"19","Melhus","Storrønningen","Stor","32V",2020-08-17,"august",2020,7011919,563285,"adult",0
"20","Melhus","Storrønningen","Stor","32V",2020-08-17,"august",2020,7011919,563285,"juvenile",1
"21","Melhus","Storrønningen","Stor","32V",2020-08-17,"august",2020,7011950,563229,"adult",0
"22","Melhus","Storrønningen","Stor","32V",2020-08-17,"august",2020,7011950,563229,"juvenile",1
"23","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011905,563470,"adult",0
"24","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011905,563470,"juvenile",2
"25","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011903,563453,"adult",0
"26","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011903,563453,"juvenile",2
"27","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011903,563441,"adult",0
"28","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011903,563441,"juvenile",6
"29","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011903,563435,"adult",1
"30","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011903,563435,"juvenile",2
"31","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011901,563439,"adult",0
"32","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011901,563439,"juvenile",1
"33","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011902,563427,"adult",2
"34","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011902,563427,"juvenile",0
"35","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011893,563430,"adult",1
"36","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011893,563430,"juvenile",0
"37","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011891,563434,"adult",0
"38","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011891,563434,"juvenile",1
"39","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011921,563434,"adult",0
"40","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011921,563434,"juvenile",2
"41","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011937,563447,"adult",1
"42","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011937,563447,"juvenile",1
"43","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011938,563450,"adult",0
"44","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011938,563450,"juvenile",1
"45","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011942,563435,"adult",2
"46","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011942,563435,"juvenile",0
"47","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011941,563433,"adult",1
"48","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011941,563433,"juvenile",0
"49","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011944,563433,"adult",1
"50","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011944,563433,"juvenile",0
"51","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011938,563405,"adult",1
"52","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011938,563405,"juvenile",0
"53","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011932,563392,"adult",1
"54","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011932,563392,"juvenile",0
"55","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011934,563386,"adult",1
"56","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011934,563386,"juvenile",0
"57","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011938,563393,"adult",1
"58","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011938,563393,"juvenile",0
"59","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011940,563401,"adult",1
"60","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011940,563401,"juvenile",0
"61","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011927,563257,"adult",0
"62","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011927,563257,"juvenile",1
"63","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011945,563236,"adult",0
"64","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011945,563236,"juvenile",1
"65","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011855,563737,"adult",0
"66","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011855,563737,"juvenile",3
"67","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011843,563774,"adult",1
"68","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011843,563774,"juvenile",0
"69","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011837,563805,"adult",1
"70","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011837,563805,"juvenile",0
"71","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011830,563790,"adult",0
"72","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011830,563790,"juvenile",2
"73","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011834,563783,"adult",0
"74","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011834,563783,"juvenile",1
"75","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011836,563778,"adult",1
"76","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011836,563778,"juvenile",0
"77","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011836,563777,"adult",1
"78","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011836,563777,"juvenile",3
"79","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011837,563771,"adult",0
"80","Melhus","Storrønningen","Stor","32V",2020-09-28,"september",2020,7011837,563771,"juvenile",1
